id	emotion	text
4906	sadness	"The news of the natural calamity, an earthquake in which hundreds    of Mexican people died."
4907	disgust	"In Punjab, in the name of religion people killed each other   during the agitation."
4908	neutral	"I felt happy at the end of a 10 day student camp.  We had shared   our hopes and aspirations and in the open situation so generated, we   had made strong frienships and experienced our own worth as well.    "
4909	fear	"One of my fellow students had bunked field work and in my attempt   to cover up for him I myself was exposed, though not directly.    We were to meet our field work suprevisor and we were afraid of   the consequences."
4910	anger	"I had made an error in planning a programme and had publicly   accepted the mistake, despite repeated requests not to bring the   matter for discussion a professor kept constantly passing remarks.   I reacted angrily.   "
4911	sadness	I was in love with a girl but had to separate from her because of   different commitments concerning life and career.  I loved her as   a person but could not agree with the life the future would   demand.  Parting from her was very sad.
4912	disgust	"Students on campus were unnecessarily creating trouble just to   heckle the authorities - not to achieve something concrete, but   to further their own interest."
4913	shame	I had reacted angrily at a friend for no fault of his.  I had   raised my voice and had not cared for his opinion.
4914	guilt	I had promised to send something to a friend and it completely   slipped my mind.  I felt guilty for having forgotten.
4915	neutral	"This is one feeling I never betray, but I must confess that the   last time I slighty felt happy was I passed my M.A with a   high rank.  This was a few years ago my friend told me about   the result."
4916	fear	A few weeks back I had a very important seminar and I had   circulated my papers to all the panel members.  A day before the   seminar I realized that I had inadvertantly burdened certain         derivations and I had failed to correct it.  I feared that this      would reflect very badly on my performance.  Fortunately none of    the panel members detected it and I felt relieved.
4917	anger	"A few days back a friend of mine poked me in the ribs for fun's   sake, though I had warned him an infinite number of times that it   really hurts me, he did it again.  I usually ignore this but this   time I flared up for a split second and threatened to bash him   up.  This is the latest incident I lost my temper, though I   felt very bad about it later."
4918	sadness	The saddest moment in my life was I lost my younger sister a   few years back.
4919	disgust	"Yesterday, I was just about to cross the road a country guy   who was ahead of me spat out a mouthful of betel juice on the   road.  It was very windy and had I not checked my speed I would   have had a very good shower of his saliva.  Though I was not   angry, I felt that these people were very indecent."
4920	shame	"Yesterday while playing volley ball, there was one person extra      and somebody had to out.  A mess worker and I were the    last ones to arrive and we had arrived at the same time.    Rightfully one of us had to opt out of the game, as I was   delaying leaving the mess worker opted out saying that I should   play.  I felt ashamed of myself."
4921	guilt	"A few days back a friend of mine had asked me to call on him on   Sunday.  I had accepted it but later did not go for no specific     reason.  I just slept in my room.  The next day this friend called    me up and told me that he had been expecting me the day before and   his wife had prepared a very good lunch for me, which had gone   waste.  I felt very bad about this incident and it has been   growing in my heart ever since."
4922	fear	Before the declaration of the S.S.C results.
4923	anger	I was punished in school for no serious mistake of mine.
4924	disgust	I could not attend the college picnic due to some   difficulties.
4925	shame	"I was detained one day in school, by the vice-principal, for   indiscipline."
4926	guilt	"One day at school I had quarrelled with a school-mate, and   ultimately I had hit him hard.  He, being physically weak had to   visit his doctor and remain absent from school for two days."
